Notes,Keywords/Phrases,Category
 tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end circuit test results before ndq llem mfl ok ltok in and out end circuit test results after ndq llem mfl ok ltok in and out end up speed down speed ,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok ltok all sockets unplugged end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok customer equipment detected end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end dispatch comments to tech struggling to back on original tech from to tech looking for more work trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes gwh llcm mfl ok ltok in and out end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
ends linked line provide has an ncf raised for it so will test dis ports testing correct speeds at stcb circuit id tfgh job f n line test type fttc provision request time result summary no copper test result expected for this test request mfl test reference tfgh result summary gea service test completed and no fault found in sync on tfgh mfl ok tfgh uprate mbit s tfgh downrate mbit s ,gea service test completed and no fault found,fibre completed copper pending
ends service provided at original nte a location please note fibre and line on wrong cab line and fibre should be routed to cab due to wrong address ,service provided at original nte a location,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end dispatch comments to as per tm lo tech derouted sick trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ca start faulting at end customer or dp rectified loop end tfgh mfl ca fault found possibly affecting gea services please check line test results out of sync the session details for this port are in the default status with no record of sync end tfgh mfl ok cpi tone applied ok end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 completed jumpering at cab checked for sync and dial tone after dslam both ok tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok cidt not completed and no adsl modem detected circuit test results before na circuit test results after na up speed down speed ,gea service test completed and no fault found,fibre completed copper pending
ends fttc jumpering complete close out test passed sync at stcb test results dn tfgh result ltok customer equipment detected date today jin m eng pin smaaa eng uin xxxxxxxxx,result ltok customer equipment detected,fibre completed copper pending
 si task completed y jumpered at stcb y before and after test results are in the notes y dial tone confirmed on e jumpered through to d and crossed jumpered on to d slam e d full sync in cab with test modem eclipsed o k y sim task copper still outstanding dial tone on e applied cpi to confirm correct e side y see attached photo s before tfgh mfl ce start faulting at end customer dp dis in network end tfgh mfl pc stcb jumpering or tie pair problem found in the stcb check jumpering and ensure all test equipment is removed before re testing or taking remedial action out of sync the session details for this port are in the default status with no record of sync end after tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on ,gea service test completed and no fault found,fibre completed copper pending
 m tfgh mfl ok gea service test completed and no fault found out of sync last in sync on end circuit test results before m tfgh mfl ok gea service test completed and no fault found out of sync last in sync on end circuit test results after m tfgh mfl ok gea service test completed and no fault found out of sync last in sync on end up speed down speed ,gea service test completed and no fault found,fibre completed copper pending
 tfgh mfl ce start faulting at end customer dp dis in network end tfgh mfl ok cpi tone applied ok end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ce start faulting at end customer dp dis in network end circuit test results before tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end circuit test results after tfgh mfl ce start faulting at end customer dp dis in network end up speed down speed ,gea service test completed and no fault found,fibre completed copper pending
 all cabwork complete and tested ok note copper side of fit returned to companyname for track and locate circuit test results before tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end circuit test results after tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end up speed down speed ,gea service test completed and no fault found,fibre completed copper pending
 tfgh mfl ok gea service test completed and no fault found out of sync last in sync on end survey required on copper part all jumpering completed circuit test results before tfgh mfl ok gea service test completed and no fault found out of sync last in sync on end end up speed mbps down speed mbps ,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes see jeopardy for results dispatch comments jamie said closing down asap escalated to tms and aom put through to hub bvx c aakbl tfgh ftc p ok gea service test completed and no fault found down mbit s up mbit s in sync on bvx c aakbl tfgh ftc p ok ltok cidt not completed and no adsl modem detected t bvx c aakbl tfgh ftc p ok gea service test completed and no fault found down mbit s up mbit s in sync on bvx c aakbl tfgh ftc p ok ltok all sockets unplugged cidt not completed t bvx c aakbl tfgh ftc p ok gea service test completed and no fault found out of sync the session details for this port are in the default status with no record of sync bvx c aakbl tfgh ftc p ok ltok all sockets unplugged cidt not completed t bvx c aakbl tfgh ftc p ok gea service test completed and no fault found out of sync the session details for this port are in the default status with no record of sync bvx c aakbl tfgh ftc p ok ltok cidt not completed and no adsl modem detected t bvx c aakbl tfgh ftc p ca fault found possibly affecting gea services please check line test results out of sync the session details for this port are in the default status with no record of sync bvx c aakbl tfgh ftc p ce start faulting at stcb dis in network trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 ce fd cd fd tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found out of sync last in sync on end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end cleaned inside cab alan barraclough circuit test results before ltok circuit test results after ltok up speed down speed ,gea service test completed and no fault found,fibre completed copper pending
ends fttc task complete correct tfgh number on port and confirmed dial tone and sync at e side fibre port minute vdsl test complete getting mbs tfgh test is good with no fault found tagged in stcb circuit id tfgh job f l line test type fttc provision request time result summary ltok cidt not completed and no adsl modem detected t mfl ok test reference tfgh result summary gea service test completed and no fault found out of sync last in sync on tfgh mfl ok tfgh uprate not known tfgh downrate not known ,gea service test completed and no fault found,fibre completed copper pending
ends long si has had to wait for lift and shift to go through si completed was dis in stcb but have pushed through on quoted d side which was free line is dis as awaiting provision task due to track and locate required for lead in fibre complete circuit id tfgh job f o line test type fttc provision request time result summary ltok cidt not completed and no adsl modem detected t mfl ok test reference tfgh result summary gea service test completed and no fault found in sync on tfgh mfl ok tfgh uprate mbit s tfgh downrate mbit s ,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes l tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end glen fibre routed no fault found dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok cpi tone applied ok end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl pc stcb jumpering or tie pair problem found in the stcb check jumpering and ensure all test equipment is removed before re testing or taking remedial action out of sync the session details for this port are in the default status with no record of sync end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end good tfgh test cpi toned off ok jumped up in stcb dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
ends fibre provided as requested minute vdsl test pass with no errors please note jdsu in sync at stcb as cr submitted for new lead in so customer won t have router fitted on completion of this task will test dis final line test as circuit id tfgh job f l line test type fttc provision request time result summary ltok customer equipment detected mfl ok test reference tfgh result summary gea service test completed and no fault found in sync on tfgh mfl ok tfgh uprate mbit s tfgh downrate mbit s ,jdsu in sync at stcb as cr submitted for new lead in so customer won t have router fitted on completion of this task will test dis gea service test completed and no fault found,fibre completed copper pending
ends cab jumpered as per quoted routing sync at mbs dt present ft ok lt ok vdsl pass install sent back to planning as unable to get height clearance over neighbouring houses roofs ,dt present ft ok lt ok vdsl pass install sent back to planning,fibre completed copper pending
 tfgh mfl ce start faulting at end customer dp dis in network end tfgh mfl ok cpi tone applied ok end tfgh mfl ok ltok customer equipment detected end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok customer equipment detected end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok ltok all sockets unplugged end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end dispatch comments jm coldsq job will closed down as sales query spoke to eu who confirmed reschedule tech called in advising eu would like to reschedule installation trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 end up speed tfgh mfl ok gea service test completed and no fault found down down speed tfgh mfl ok gea service test completed and no fault found down ,gea service test completed and no fault found,fibre completed copper pending
ends fit is not complete as no access on provide tagged on the side fiver in stcb d side and fit needed to complete circuit id tfgh job f k line test type fttc provision request time result summary ltok cidt not completed and no adsl modem detected t mfl ok test reference tfgh result summary gea service test completed and no fault found in sync on tfgh mfl ok tfgh uprate mbit s tfgh downrate mbit s ,gea service test completed and no fault found,fibre completed copper pending
 sync and dial tone test at stcb comfirmed copper job for this task has gone back for a hoist quoted copper pairs in stcb where free so i was still able to do the si task tfgh mfl ce start faulting at end customer dp dis in network end tfgh mfl ca fault found possibly affecting gea services please check line test results out of sync last in sync on end circuit test results before tfgh mfl ok ltok all sockets unplugged end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end circuit test results after tfgh mfl ce start faulting at end customer dp dis in network end ,gea service test completed and no fault found,fibre completed copper pending
 tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end copper side has been sent back for track and mark circuit test results before circuit test results after up speed down speed ,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ce start faulting at stcb dis in network end ,gea service test completed and no fault found,fibre completed copper pending
 jumpered and synced ok at stcb on given fibre ports kevin pearson tfgh mfl ce start faulting at end customer dp dis in network end tfgh mfl ca fault found possibly affecting gea services please check line test results out of sync the session details for this port are in the default status with no record of sync end tfgh mfl n a no copper test result expected for this test request end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl n a no copper test result expected for this test request end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end bkz mfl ok ltok custo ,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end please record failure on the copper part of this job dispatch comments from to due to de route trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 tfgh mfl ce start faulting at end customer dp dis in network end tfgh mfl ok cpi tone applied ok end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ce start faulting at end customer dp dis in network end circuit test results before tfgh mfl ce start faulting at end customer dp dis in network end circuit test results after tfgh mfl ce start faulting at end customer dp dis in network end up speed down speed ,gea service test completed and no fault found,fibre completed copper pending
ends arrived at cab and ran jumpers ran close out slow speeds rang fttc help desk and they confirmed that it should be ran sync only pass put socket on as d side wasn t available and no access to eu ran tfgh ltok gea no fault found circuit id tfgh job f n line test type fttc provision request time result summary ltok all sockets unplugged mfl ok test reference tfgh result summary gea service test completed and no fault found out of sync last in sync on tfgh mfl ok tfgh uprate not known tfgh downrate not known ,gea service test completed and no fault found,fibre completed copper pending
ends jumpered close out test pass tfgh pass with socket on in cab as this is part of an ncf circuit id tfgh job f n line test type fttc provision request time result summary ltok all sockets unplugged mfl ok test reference tfgh result summary gea service test completed and no fault found in sync on tfgh mfl ok tfgh uprate mbit s tfgh downrate mbit s ,gea service test completed and no fault found,fibre completed copper pending
 tfgh mfl ok cpi tone applied ok end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 self install completed jumpered from copper pairs to fibre pairs tested and in sync for minimum minutes dial tone present on the fibre e side tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end copper job need hoist tagged e side copper tagged d side fibre circuit test results before tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end circuit test results after up speed down speed ,gea service test completed and no fault found,fibre completed copper pending
 tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end circuit test results before tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end circuit test results after tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end up speed down speed ,gea service test completed and no fault found,fibre completed copper pending
ends service provided at original nte a location ,service provided at original nte a location,fibre completed copper pending
ends vdsl gea and proveit done at stcb ncf raised circuit id tfgh job f m line test type fttc provision request time result summary ltok all sockets unplugged mfl ok test reference tfgh result summary gea service test completed and no fault found in sync on tfgh mfl ok tfgh uprate mbit s tfgh downrate mbit s ,gea service test completed and no fault found,fibre completed copper pending
 jumpered and tested as per task circuit test results before tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end circuit test results after dis in network up speed down speed ,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ce start faulting at end customer dp dis in network end tfgh mfl ca fault found possibly affecting gea services please check line test results out of sync the session details for this port are in the default status with no record of sync end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end dispatch comments kg doing support work tech notes waiting for a co op e side change trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
ends circuit id tfgh job f o line test type fttc provision request time result summary ltok cidt not completed and no adsl modem detected t mfl ok test reference tfgh result summary gea service test completed and no fault found out of sync last in sync on tfgh mfl ok tfgh uprate not known tfgh downrate not known ,gea service test completed and no fault found,fibre completed copper pending
 fttc jumpered to e side and allocated d side sync achieved at stcb on time of install circuit test results before tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end eclipse tfgh mfl ok ltok all sockets unplugged end circuit test results after tfgh mfl ce start faulting at end customer dp dis in network end up speed down speed ,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok gea service test completed and no fault found out of sync last in sync on end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 this job was for the the sim provide part of the job stcb visited to connect up correct fibre re and d side routing and pushed back to end user confirmed sync and dial tone tfgh mfl ok ltok customer equipment detected end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end circuit test results before tfgh mfl ok ltok customer equipment detected end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end circuit test results after tfgh mfl ok ltok customer equipment detected end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end up spee ,gea service test completed and no fault found,fibre completed copper pending
 all jumpered over onto allocated dslam side from allocated routing on copper side copper part of installation not yet complete lt results before tfgh mfl ce start faulting at end customer dp dis in network end lt results in sync tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end lt results after tfgh mfl ok ltok all sockets unplugged end circuit test results before tfgh mfl ok ltok all sockets unplugged end circuit test results after tfgh mfl ce start faulting at end customer dp dis in network end up speed n a down speed n a ,gea service test completed and no fault found,fibre completed copper pending
 jumpered synced and tested at cab unable to complete copper part of job as ncf raised circuit test results before tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end circuit test results after tfgh mfl ce start faulting at stcb dis in network end up speed down speed ,gea service test completed and no fault found,fibre completed copper pending
 steven lamb results from line test taken prior to breaking circuit tfgh mfl ce start faulting at end customer dp dis in network end tfgh mfl ca fault found possibly affecting gea services please check line test results out of sync the session details for this port are in the default status with no record of sync end stcb jumpering comp modem synced and line tested a raised for damaged idc topless strip damaged dside results tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test complete ,gea service test completed and no fault found,fibre completed copper pending
 ogecr mfl ok ltok all sockets unplugged and no modem detected cidt not completed t end ogecr mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end ogecr mfl ok ltok all sockets unplugged and no modem detected cidt not completed t end ogecr mfl ok gea service test completed and no fault found dow ,gea service test completed and no fault found,fibre completed copper pending
ends steps followed ltok tfgh passed mins vdsl test passed on going job at same address ,ltok tfgh passed,fibre completed copper pending
 tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end circuit test results before tfgh mfl ok ltok all sockets unplugged end circuit test results after tfgh mfl ce start faulting at end customer dp dis in network end up speed down speed ,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok all sockets unplugged end j sherwood dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 chris bage dn confirmed on e side sim provide no number allocated but dial tone present as in job notes jumpered to copper e side d side fibre ports e side d side fibre ports stcb checked for defects and stcb floor cleaned before result tfgh mfl ln dsl port has not successfully synchronised today you are expected to bring the port into sync on the day of the test out of sync last in sync on end tfgh mfl ce start faulting at end customer dp dis in network end after result tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok all sockets unplugged end tfgh mfl ca fault found possibly affecting gea services please check line test resul ,gea service test completed and no fault found,fibre completed copper pending
ends service provided at original nte a location circuit id tfgh job f n line test type fttc provision request time result summary ltok cidt not completed and no adsl modem detected t mfl ok test reference tfgh result summary gea service test completed and no fault found in sync on tfgh mfl ok tfgh uprate mbit s tfgh downrate mbit s ,service provided at original nte a location,fibre completed copper pending
 steve garner eside pieces out bunch cleaned ducts ok floor cleaned copper sim returned due to survey tagged in stcb photos uploaded circuit test results before tfgh mfl ok ltok all sockets unplugged end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok all sockets unplugged end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end circuit test results after tfgh mfl ok ltok all sockets unplugged end up speed down speed ,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ce start faulting at end customer dp dis in network end tfgh mfl ln dsl port has not successfully synchronised today you are expected to bring the port into sync on the day of the test out of sync the session details for this port are in the default status with no record of sync end tfgh mfl ok ltok customer equipment detected end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok customer equipment detected end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end fit complete dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
ends arrived on site ring ahead complete dial tone on eside copper ran jumper copper to fibre dial tone on jumper going to dside copper sync present and correct tfgh dsl minute close out test passed prove it filled in circuit id tfgh job f m line test type fttc provision request time result summary ltok all sockets unplugged mfl ok test reference tfgh result summary gea service test completed and no fault found out of sync last in sync on tfgh mfl ok tfgh uprate not known tfgh downrate not known ,gea service test completed and no fault found,fibre completed copper pending
 st tfgh mfl ce start faulting at end customer dp dis in network end tfgh mfl pc stcb jumpering or tie pair problem found in the stcb check jumpering and ensure all test equipment is removed before re testing or taking remedial action out of sync the session details for this port are in the default status with no record of sync end nd tfgh mfl ok ltok all sockets unplugged end tfgh mfl ok higher than normal crosstalk detected on gea service down mbit s up mbit s in sync on cross talk yes end rd tfgh mfl ok ltok customer equipment detected end tfgh mfl ok gea service test completed and no fault found out of sync last in sync on end circuit test results before tfgh ,gea service test completed and no fault found,fibre completed copper pending
 copper jumpered to fibre in stcb only as copper part of job sent back for npu hoist tfgh mfl ce start faulting at end customer dp dis in network end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end john grady circuit test results before tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end circuit test results after tfgh mfl ce start faulting at end customer dp dis in networ ,gea service test completed and no fault found,fibre completed copper pending
 liam clark all work completed dt on copper e connected to fibre d fibre e connected to copper d tagged e side with fibre routing tfgh mfl ce start faulting at stcbstart faulting at stcb end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found out of sync last in sync on end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end circuit test results before circuit test results after up speed down speed ,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok ltok all sockets unplugged end tfgh mfl ok potential bridge tap issue in customer wiring detected on gea service please disconnect eu wiring and re test down mbit s up mbit s in sync on bridge tap yes end tfgh mfl ok gea service test completed and no fault found out of sync last in sync on end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok customer equipment detected end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end initial test dis in network speed test checked all ok final test ltok self install stcb work only dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ce start faulting at end customer dp dis in network end tfgh mfl ca fault found possibly affecting gea services please check line test results out of sync the session details for this port are in the default status with no record of sync end tfgh mfl ok cpi tone applied ok end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok customer equipment detected end tfgh mfl ok gea service test completed and no fault found out of sync last in sync on end andrew tomlinson dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 copper no done because customer rebook appointment for next week all jumpering between copper and fibre is done tagged e side fibre tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end circuit test results before tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end circuit test results after tfgh mfl ln dsl port has not successfully synchronised today you are expected to bring the port into sync on the day of the test out of sync last in sync on end up speed down speed ,copper no done gea service test completed and no fault found,fibre completed copper pending
 tfgh mfl ce start faulting at stcb dis leg in network end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ce start faulting at stcb dis in network end tfgh mfl pc stcb jumpering or tie pair problem found in the stcb check jumpering and ensure all test equipment is removed before re testing or taking re ,gea service test completed and no fault found,fibre completed copper pending
ends fttc provide tasks done as required by the job notes broadband and ppp tests done and passed circuit id tfgh job f k line test type fttc provision request time result summary ltok all sockets unplugged mfl ok test reference tfgh result summary gea service test completed and no fault found out of sync last in sync on tfgh mfl ok tfgh uprate not known tfgh downrate not known ,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson mr na doorcolor questions closurenotes tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end no access to complete copper task all jumpers complete and in place as per quoted routing dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 sim provide tfgh mfl ln start faulting at stcb battery contact end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end new d new fe and fd dt on e to fd fe to d cleaned base of stcb stephen mccartney circuit test results before a circuit test results after a up speed a down speed a ,gea service test completed and no fault found,fibre completed copper pending
ends fttc jumpering completed in cab lift and shift to new dslam ports e d vdsl and tfgh test completed sync ok with correct speed zero errors provision job for line not yet completed as eu not at home ,vdsl and tfgh test completed,fibre completed copper pending
 jumper complete sync and dial tone tested and working unable to get good last test as copper part of task was sent back for track and locate tfgh mfl ce start faulting at end customer dp dis in network end tfgh mfl ca fault found possibly affecting gea services please check line test results out of sync the session details for this port are in the default status with no record of sync end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ce start faulting at end customer dp dis in network end tfgh mfl ca fault found possibly affecting gea services please check line test results out ,gea service test completed and no fault found,fibre completed copper pending
 copper task no access all jumpering complete worker on d jumpered to d fibre and e side routing as quoted david proudman tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl pc stcb jumpering or tie pair problem found in the stcb check jumpering and ensure all test equipment is removed before re testing or taking remedial action out of sync last in sync on end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down ,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes jumpered to situ tfgh mfl pc stcb jumpering or tie pair problem found in the stcb check jumpering and ensure all test equipment is removed before re testing or taking remedial action out of sync the session details for this port are in the default status with no record of sync end end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end adam gibb dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
