copper pending line plant access issue,copper pending routing issue,dslam capacity issue,fibre completed copper pending,Notes,Keywords/Phrases,Sentences
0,1,0,0,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information eu eside goes different cab cannot push dside stcb without access eu premises,routing provided incorrect,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information eu eside goes different cab cannot push dside stcb without access eu premises routing provided incorrect
1,0,0,0,ends photographic evidence available cannot complete task unable access companyname line plant located within companyname network work commenced please see additional information new build flats eq exists yet linked copper provide furthered planning,unable access openreach line plant located within openreach network,ends photographic evidence available cannot complete task unable access companyname line plant located within companyname network work commenced please see additional information new build flats eq exists yet linked copper provide furthered planning unable access openreach line plant located within openreach network
0,0,1,0,ends photographic evidence available cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed dcoe passing dcoe resolved please see additional information lums case af ti raised dcoe dt slower desired sync speeds new fibre ports connected allocated side linked install unable complete due unavailable hoist,allocated ports unavailable faulty,ends photographic evidence available cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed dcoe passing dcoe resolved please see additional information lums case af ti raised dcoe dt slower desired sync speeds new fibre ports connected allocated side linked install unable complete due unavailable hoist allocated ports unavailable faulty
0,0,0,1,upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ca start faulting end customer dp loop end tfgh mfl ok ltok customer equipment detected end tfgh mfl ok gea service test completed fault found mbit mbit sync end tfgh mfl ok ltok sockets unplugged end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed fault found,upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ca start faulting end customer dp loop end tfgh mfl ok ltok customer equipment detected end tfgh mfl ok gea service test completed fault found mbit mbit sync end tfgh mfl ok ltok sockets unplugged end dispatch comments trc questions eng mobile xxxxxxxxxxx gea service test completed fault found
0,0,1,0,ends photographic evidence available cannot complete task linked order delayed allocated ports unavailable faulty could repair day discussed bianca passing dcoe resolved please see additional information ports exist llums case raised waiting civics om aware b mckinlay,allocated ports unavailable faulty,ends photographic evidence available cannot complete task linked order delayed allocated ports unavailable faulty could repair day discussed bianca passing dcoe resolved please see additional information ports exist llums case raised waiting civics om aware b mckinlay allocated ports unavailable faulty
0,0,0,1,ends linked line provide ncf raised test dis ports testing correct speeds stcb circuit id tfgh job f n line test type fttc provision request time result summary copper test result expected test request mfl test reference tfgh result summary gea service test completed fault found sync tfgh mfl ok tfgh uprate mbit tfgh downrate mbit,gea service test completed fault found,ends linked line provide ncf raised test dis ports testing correct speeds stcb circuit id tfgh job f n line test type fttc provision request time result summary copper test result expected test request mfl test reference tfgh result summary gea service test completed fault found sync tfgh mfl ok tfgh uprate mbit tfgh downrate mbit gea service test completed fault found
0,0,0,1,upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok ltok sockets unplugged end tfgh mfl ok gea service test completed fault found mbit mbit sync end dispatch comments jm coldsq job closed sales query spoke eu confirmed reschedule tech called advising eu would like reschedule installation trc questions eng mobile xxxxxxxxxxx,gea service test completed fault found,upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok ltok sockets unplugged end tfgh mfl ok gea service test completed fault found mbit mbit sync end dispatch comments jm coldsq job closed sales query spoke eu confirmed reschedule tech called advising eu would like reschedule installation trc questions eng mobile xxxxxxxxxxx gea service test completed fault found
1,0,0,0,ends photographic evidence available cannot complete task unable access companyname line plant located within end customer premises work commenced please see additional information access manager informed,unable access companyname line plant located within end customer premises,ends photographic evidence available cannot complete task unable access companyname line plant located within end customer premises work commenced please see additional information access manager informed unable access companyname line plant located within end customer premises
0,0,1,0,ends cannot complete task linked order delayed allocated ports unavailable faulty could repair day discussed na passing dcoe resolved please see additional information card working ports checked lot dcoe llum afti pstn ltok circuit id job wtwn cqb line test type pstn repair request time result summary ltok customer equipment detected mfl ok test reference tfgh result summary known tfgh mfl known tfgh uprate known tfgh downrate known,allocated ports unavailable faulty,ends cannot complete task linked order delayed allocated ports unavailable faulty could repair day discussed na passing dcoe resolved please see additional information card working ports checked lot dcoe llum afti pstn ltok circuit id job wtwn cqb line test type pstn repair request time result summary ltok customer equipment detected mfl ok test reference tfgh result summary known tfgh mfl known tfgh uprate known tfgh downrate known allocated ports unavailable faulty
1,0,0,0,ends cannot complete task unable access companyname line plant located within companyname network work commenced manually entered closure notes,unable access companyname line plant located within companyname network,ends cannot complete task unable access companyname line plant located within companyname network work commenced manually entered closure notes unable access companyname line plant located within companyname network
0,0,0,1,upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok gea service test completed fault found mbit mbit sync end dispatch comments per tm lo tech derouted sick trc questions eng mobile xxxxxxxxxxx,gea service test completed fault found,upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok gea service test completed fault found mbit mbit sync end dispatch comments per tm lo tech derouted sick trc questions eng mobile xxxxxxxxxxx gea service test completed fault found
0,0,0,1,ends cab jumpered per quoted routing sync mbs dt present ft ok lt ok vdsl pass install sent back planning unable get height clearance neighbouring houses roofs,dt present ft ok lt ok vdsl pass install sent back planning,ends cab jumpered per quoted routing sync mbs dt present ft ok lt ok vdsl pass install sent back planning unable get height clearance neighbouring houses roofs dt present ft ok lt ok vdsl pass install sent back planning
0,1,0,0,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information fibre ports quoted exist stcb goes spare ports available exist lumms case ref af ie spoke dcoe uin xxxxxxxxx told done october nd,routing provided incorrect,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information fibre ports quoted exist stcb goes spare ports available exist lumms case ref af ie spoke dcoe uin xxxxxxxxx told done october nd routing provided incorrect
1,0,0,0,ends photographic evidence available cannot complete task unable access companyname line plant located within end customer premises dw lead via hoist required reply cono please see additional information access dw lead renew hoist required,unable access companyname line plant located within end customer premises,ends photographic evidence available cannot complete task unable access companyname line plant located within end customer premises dw lead via hoist required reply cono please see additional information access dw lead renew hoist required unable access companyname line plant located within end customer premises
0,0,1,0,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed india passing dcoe resolved please see additional information spoke helpdesk spare ports lumms case afie refers ports exist last port wilson fraser xxxxxxxxxxx see previous notes,allocated ports unavailable faulty,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed india passing dcoe resolved please see additional information spoke helpdesk spare ports lumms case afie refers ports exist last port wilson fraser xxxxxxxxxxx see previous notes allocated ports unavailable faulty
0,1,0,0,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information ducting ug feed house goes drive network e sides stcb,routing provided incorrect,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information ducting ug feed house goes drive network e sides stcb routing provided incorrect
0,1,0,0,upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl pc stcb jumpering tie pair problem found stcb check jumpering ensure test equipment removed testing taking remedial action sync last sync end,stcb jumpering tie pair problem found stcb,upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl pc stcb jumpering tie pair problem found stcb check jumpering ensure test equipment removed testing taking remedial action sync last sync end stcb jumpering tie pair problem found stcb
0,0,0,1,ends fttc jumpering complete close test passed sync stcb test results dn tfgh result ltok customer equipment detected date today jin eng pin smaaa eng uin xxxxxxxxx,result ltok customer equipment detected,ends fttc jumpering complete close test passed sync stcb test results dn tfgh result ltok customer equipment detected date today jin eng pin smaaa eng uin xxxxxxxxx result ltok customer equipment detected
0,0,1,0,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed rashad passing dcoe resolved please see additional information fibre routing quoted e fibre cable goes tried lift shift spare ports available use llums case raised ref afie,allocated ports unavailable faulty,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed rashad passing dcoe resolved please see additional information fibre routing quoted e fibre cable goes tried lift shift spare ports available use llums case raised ref afie allocated ports unavailable faulty
0,0,1,0,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed hmm passing dcoe resolved please see additional information lam number afie see notes privious engineers getting called lot help,allocated ports unavailable faulty,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed hmm passing dcoe resolved please see additional information lam number afie see notes privious engineers getting called lot help allocated ports unavailable faulty
0,1,0,0,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information another engineer install task confirmed routi wrong plus cannot complete provide due pole,routing provided incorrect,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information another engineer install task confirmed routi wrong plus cannot complete provide due pole routing provided incorrect
0,1,0,0,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information line coming cab require buzzed customer access time visit access required confirm routing looked records cab served lk onwards customer routed lk,routing provided incorrect,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information line coming cab require buzzed customer access time visit access required confirm routing looked records cab served lk onwards customer routed lk routing provided incorrect
0,1,0,0,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information fibre routing still coming wrong stcb despite routing updated show line runs stcb instead stcb unable lift shift fibre cabinets different test heads fibre routing needs reprovided stcb,routing provided incorrect,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information fibre routing still coming wrong stcb despite routing updated show line runs stcb instead stcb unable lift shift fibre cabinets different test heads fibre routing needs reprovided stcb routing provided incorrect
0,0,0,1,tfgh mfl ok gea service test completed fault found sync last sync end circuit test results tfgh mfl ok gea service test completed fault found sync last sync end circuit test results tfgh mfl ok gea service test completed fault found sync last sync end speed speed,gea service test completed fault found,tfgh mfl ok gea service test completed fault found sync last sync end circuit test results tfgh mfl ok gea service test completed fault found sync last sync end circuit test results tfgh mfl ok gea service test completed fault found sync last sync end speed speed gea service test completed fault found
0,0,0,1,stcb jumpering completed copper provision task yet completed worker quoted side dial tone pushed onto tfgh mfl ok gea service test completed fault found mbit mbit sync end circuit test results tfgh mfl ok gea service test completed fault found mbit mbit sync end circuit test results tfgh mfl ok ltok sockets unplugged end speed speed,gea service test completed fault found,stcb jumpering completed copper provision task yet completed worker quoted side dial tone pushed onto tfgh mfl ok gea service test completed fault found mbit mbit sync end circuit test results tfgh mfl ok gea service test completed fault found mbit mbit sync end circuit test results tfgh mfl ok ltok sockets unplugged end speed speed gea service test completed fault found
0,0,0,1,work completed tagged tfgh mfl ok ltok cidt completed adsl modem detected end circuit test results tfgh mfl ok gea service test completed fault found mbit mbit sync end circuit test results tfgh mfl ce start faulting end customer dp dis network end speed speed,gea service test completed fault found,work completed tagged tfgh mfl ok ltok cidt completed adsl modem detected end circuit test results tfgh mfl ok gea service test completed fault found mbit mbit sync end circuit test results tfgh mfl ce start faulting end customer dp dis network end speed speed gea service test completed fault found
0,1,0,0,connected fibre cab dside due access ogecr mfl ce start faulting end customer dp dis network end ogecr mfl pc stcb jumpering tie pair problem found stcb check jumpering ensure test equipment removed testing taking remedial action sync session details port default status record sync end,stcb jumpering tie pair problem found stcb,connected fibre cab dside due access ogecr mfl ce start faulting end customer dp dis network end ogecr mfl pc stcb jumpering tie pair problem found stcb check jumpering ensure test equipment removed testing taking remedial action sync session details port default status record sync end stcb jumpering tie pair problem found stcb
0,1,0,0,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information arrived site cpi tone stcb dt quoted e side went eu premises stcb right next eu confirmed linegoing stcb e side side routing solutions told routing incorrect update called dcoe spoke advisor uin xxxxxx told lift shift different stcb cannot done provision task pass cp resolve routing updated myjobs fibre ports required stcb complete task,routing provided incorrect,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information arrived site cpi tone stcb dt quoted e side went eu premises stcb right next eu confirmed linegoing stcb e side side routing solutions told routing incorrect update called dcoe spoke advisor uin xxxxxx told lift shift different stcb cannot done provision task pass cp resolve routing updated myjobs fibre ports required stcb complete task routing provided incorrect
0,0,1,0,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed rajatand passing dcoe resolved please see additional information fttc ports available quoted one exists incident stcb ref af ie,allocated ports unavailable faulty,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed rajatand passing dcoe resolved please see additional information fttc ports available quoted one exists incident stcb ref af ie allocated ports unavailable faulty
0,0,1,0,ends cannot complete task run time within scheduled hours end customer cannot use service work outstanding jumpering manually entered closure notes xxxxxxxxxxxxxxxx ring ahead information primary eu contact name xxxxxxxxxxxxxxxxxxx primary contact xxxxxxxxxxxxx outcome call answer vm left available call date time secondary contact details outcome call secondary contact able ring ahead due unusable contact details missing incorrect faulty line ring ahead information ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed na passing dcoe resolved please see additional information called dcoe fibre ports available lums case ref afie completed,run time within scheduled hours allocated ports unavailable faulty,ends cannot complete task run time within scheduled hours end customer cannot use service work outstanding jumpering manually entered closure notes xxxxxxxxxxxxxxxx ring ahead information primary eu contact name xxxxxxxxxxxxxxxxxxx primary contact xxxxxxxxxxxxx outcome call answer vm left available call date time secondary contact details outcome call secondary contact able ring ahead due unusable contact details missing incorrect faulty line ring ahead information ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed na passing dcoe resolved please see additional information called dcoe fibre ports available lums case ref afie completed run time within scheduled hours allocated ports unavailable faulty
0,0,0,1,upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok ltok sockets unplugged end tfgh mfl ok gea service test completed fault found mbit mbit sync end tfgh mfl ok ltok customer equipment detected end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed fault found,upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok ltok sockets unplugged end tfgh mfl ok gea service test completed fault found mbit mbit sync end tfgh mfl ok ltok customer equipment detected end dispatch comments trc questions eng mobile xxxxxxxxxxx gea service test completed fault found
0,0,1,0,ends photographic evidence available cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed gita passing dcoe resolved please see additional information please see previous engineers note lums case number,allocated ports unavailable faulty,ends photographic evidence available cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed gita passing dcoe resolved please see additional information please see previous engineers note lums case number allocated ports unavailable faulty
0,0,0,1,upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes gwh llcm mfl ok ltok end tfgh mfl ok gea service test completed fault found mbit mbit sync end tfgh mfl ok ltok cidt completed adsl modem detected end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed fault found,upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes gwh llcm mfl ok ltok end tfgh mfl ok gea service test completed fault found mbit mbit sync end tfgh mfl ok ltok cidt completed adsl modem detected end dispatch comments trc questions eng mobile xxxxxxxxxxx gea service test completed fault found
1,0,0,0,ends photographic evidence available cannot complete task unable access companyname line plant located within end customer premises work commenced please see additional information unable gain access eu premise companyname rang number eu flat entrance answer answer phone number,unable access companyname line plant located within companyname network,ends photographic evidence available cannot complete task unable access companyname line plant located within end customer premises work commenced please see additional information unable gain access eu premise companyname rang number eu flat entrance answer answer phone number unable access companyname line plant located within companyname network
0,1,0,0,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information circuit id tfgh job f n line test type fttc provision request time result summary ltok cidt completed adsl modem detected mfl ok test reference tfgh result summary gea service test completed fault found sync tfgh mfl ok tfgh uprate mbit tfgh downrate mbit,routing provided incorrect gea service test completed fault found,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information circuit id tfgh job f n line test type fttc provision request time result summary ltok cidt completed adsl modem detected mfl ok test reference tfgh result summary gea service test completed fault found sync tfgh mfl ok tfgh uprate mbit tfgh downrate mbit routing provided incorrect gea service test completed fault found
0,0,1,0,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed mo passing dcoe resolved please see additional information ports available quoted routing exists llums case opened reference number afti,allocated ports unavailable faulty,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed mo passing dcoe resolved please see additional information ports available quoted routing exists llums case opened reference number afti allocated ports unavailable faulty
0,0,1,0,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed kaweriand passing dcoe resolved please see additional information faulty fibre port spares spoke toein xxxxxxxxx miss xxxxxxxxi dcoe ref afie,allocated ports unavailable faulty,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed kaweriand passing dcoe resolved please see additional information faulty fibre port spares spoke toein xxxxxxxxx miss xxxxxxxxi dcoe ref afie allocated ports unavailable faulty
0,0,1,0,ends cannot complete task linked order delayed allocated ports unavailable faulty could repair day discussed sohini passing dcoe resolved please see additional information spare ports available due ongoing issues ref afie sohini xxxxxxxxxx,allocated ports unavailable faulty,ends cannot complete task linked order delayed allocated ports unavailable faulty could repair day discussed sohini passing dcoe resolved please see additional information spare ports available due ongoing issues ref afie sohini xxxxxxxxxx allocated ports unavailable faulty
0,0,0,1,upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok gea service test completed fault found sync last sync end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed fault found,upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok gea service test completed fault found sync last sync end dispatch comments trc questions eng mobile xxxxxxxxxxx gea service test completed fault found
1,0,0,0,ends photographic evidence available cannot complete task unable access companyname line plant located within end customer premises work commenced please see additional information incorrect number ring ahead call multiple times sent texts arrived eu premises access try number ring cp spoken aron informed contact number note systems informed aron would note system call contact tried premises access advise attached task access order note confirms eu,unable access companyname line plant located within end customer premises,ends photographic evidence available cannot complete task unable access companyname line plant located within end customer premises work commenced please see additional information incorrect number ring ahead call multiple times sent texts arrived eu premises access try number ring cp spoken aron informed contact number note systems informed aron would note system call contact tried premises access advise attached task access order note confirms eu unable access companyname line plant located within end customer premises
0,0,1,0,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed n passing dcoe resolved please see additional information ease see additional information task keeps getting sent back please read previous notes regarding task liaise service provider second stage team resolve fibre issue stcb clear provides,allocated ports unavailable faulty,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed n passing dcoe resolved please see additional information ease see additional information task keeps getting sent back please read previous notes regarding task liaise service provider second stage team resolve fibre issue stcb clear provides allocated ports unavailable faulty
0,0,0,1,xxxxxxxxxxxxx ein xxxxxxxxxxxx dn confirmed eside dial tone present jumpered copper eside dside fibre ports eside dside stcb checked defects stcb floor cleaned exists duct seals test second test tfgh mfl ok ltok cidt completed adsl modem detected end tfgh mfl ok gea service test completed fault found mbit mbit sync end results circuit test results dis circuit test results dis speed mbit speed mbit,gea service test completed fault found,xxxxxxxxxxxxx ein xxxxxxxxxxxx dn confirmed eside dial tone present jumpered copper eside dside fibre ports eside dside stcb checked defects stcb floor cleaned exists duct seals test second test tfgh mfl ok ltok cidt completed adsl modem detected end tfgh mfl ok gea service test completed fault found mbit mbit sync end results circuit test results dis circuit test results dis speed mbit speed mbit gea service test completed fault found
0,1,0,0,routing per quote tfgh mfl ok gea service test completed fault found mbit mbit sync end circuit test results tfgh mfl ok gea service test completed fault found mbit mbit sync end circuit test results tfgh mfl pc stcb jumpering tie pair problem found stcb check jumpering ensure test equipment removed testing taking remedial action sync session details port default status record sync end,stcb jumpering tie pair problem found stcb,routing per quote tfgh mfl ok gea service test completed fault found mbit mbit sync end circuit test results tfgh mfl ok gea service test completed fault found mbit mbit sync end circuit test results tfgh mfl pc stcb jumpering tie pair problem found stcb check jumpering ensure test equipment removed testing taking remedial action sync session details port default status record sync end stcb jumpering tie pair problem found stcb
1,0,0,0,ends cannot complete task unable access companyname line plant located within end customer premises work commenced please see additional information see linked install order unable get line service due unable climb pole tested,unable access openreach line plant located within end customer premises,ends cannot complete task unable access companyname line plant located within end customer premises work commenced please see additional information see linked install order unable get line service due unable climb pole tested unable access openreach line plant located within end customer premises
0,1,0,0,notes end user home prove pair proved back proved stcb routing provided incorrect quoted working line,routing provided incorrect,notes end user home prove pair proved back proved stcb routing provided incorrect quoted working line routing provided incorrect
1,0,0,0,ends photographic evidence available cannot complete task unable access companyname line plant located within companyname network jumper work completed cabinet please see additional information eq another building unable tetra sync stcb,unable access companyname line plant located within companyname network,ends photographic evidence available cannot complete task unable access companyname line plant located within companyname network jumper work completed cabinet please see additional information eq another building unable tetra sync stcb unable access companyname line plant located within companyname network
1,0,0,0,ends cannot complete task unable access companyname line plant located within end customer premises work commenced please see additional information part install job job sent back access eu contact details unrecognised please see notes install,unable access companyname line plant located within end customer premises,ends cannot complete task unable access companyname line plant located within end customer premises work commenced please see additional information part install job job sent back access eu contact details unrecognised please see notes install unable access companyname line plant located within end customer premises
0,0,1,0,ends cannot complete task linked order delayed allocated ports unavailable faulty could repair day discussed n passing dcoe resolved please see additional information please read previous notes incident number afie,allocated ports unavailable faulty,ends cannot complete task linked order delayed allocated ports unavailable faulty could repair day discussed n passing dcoe resolved please see additional information please read previous notes incident number afie allocated ports unavailable faulty
0,0,0,1,name xxxxxxxxxxxx ein xxxxxxxxxxxx current none issued none dn confirmed eside dial tone present jumpered copper eside dside fibre ports eside dside stcb checked defects stcb floor cleaned part copper provision ncf raised results tfgh mfl ce start faulting stcb dis leg network end tfgh mfl ca fault found possibly affecting gea services please check line test results sync session details port default status record sync end second test tfgh mfl ok ltok cidt completed adsl modem detected end tfgh mfl ok gea service test completed fault found mbit mbit sync end results tfgh,gea service test completed fault found,name xxxxxxxxxxxx ein xxxxxxxxxxxx current none issued none dn confirmed eside dial tone present jumpered copper eside dside fibre ports eside dside stcb checked defects stcb floor cleaned part copper provision ncf raised results tfgh mfl ce start faulting stcb dis leg network end tfgh mfl ca fault found possibly affecting gea services please check line test results sync session details port default status record sync end second test tfgh mfl ok ltok cidt completed adsl modem detected end tfgh mfl ok gea service test completed fault found mbit mbit sync end results tfgh gea service test completed fault found
0,0,1,0,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed xxxxxxxx passing dcoe resolved please see additional information xxxxxxx uin dcoe staff member working fibre ports ref number af ie,allocated ports unavailable faulty,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed xxxxxxxx passing dcoe resolved please see additional information xxxxxxx uin dcoe staff member working fibre ports ref number af ie allocated ports unavailable faulty
0,1,0,0,tfgh mfl pc stcb jumpering tie pair problem found stcb check jumpering ensure test equipment removed testing taking remedial action sync session details port default status record sync,stcb jumpering tie pair problem found stcb,tfgh mfl pc stcb jumpering tie pair problem found stcb check jumpering ensure test equipment removed testing taking remedial action sync session details port default status record sync stcb jumpering tie pair problem found stcb
1,0,0,0,ends cannot complete task unable access companyname line plant located within companyname network work commenced please see additional information unable provide line prem day provide sent back planning solution wayleave needed able provide line,unable access companyname line plant located within companyname network,ends cannot complete task unable access companyname line plant located within companyname network work commenced please see additional information unable provide line prem day provide sent back planning solution wayleave needed able provide line unable access companyname line plant located within companyname network
1,0,0,0,ends cannot complete task unable access companyname line plant located within companyname network work commenced please see additional information eq plant basement spoken mark local planner aware site job built eq moved combining another dp mark wants job put planning get notes job details let customer know work completed go back install g fast work spoken manager please send job back till confirmation new eq fitted,unable access companyname line plant located within companyname network,ends cannot complete task unable access companyname line plant located within companyname network work commenced please see additional information eq plant basement spoken mark local planner aware site job built eq moved combining another dp mark wants job put planning get notes job details let customer know work completed go back install g fast work spoken manager please send job back till confirmation new eq fitted unable access companyname line plant located within companyname network
1,0,0,0,ends photographic evidence available cannot complete task unable access companyname line plant located within companyname network work commenced please see additional information end user still awaiting dig eq jf done service provided,unable access openreach line plant located within openreach network,ends photographic evidence available cannot complete task unable access companyname line plant located within companyname network work commenced please see additional information end user still awaiting dig eq jf done service provided unable access openreach line plant located within openreach network
0,0,0,1,ends service provided original nte location please note fibre line wrong cab line fibre routed cab due wrong address,service provided original nte location,ends service provided original nte location please note fibre line wrong cab line fibre routed cab due wrong address service provided original nte location
1,0,0,0,ends cannot complete task unable access companyname line plant located within end customer premises external work completed please see additional information battery contact cleared pair good dp rec loop going house access,unable access companyname line plant located within end customer premises,ends cannot complete task unable access companyname line plant located within end customer premises external work completed please see additional information battery contact cleared pair good dp rec loop going house access unable access companyname line plant located within end customer premises
0,0,1,0,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed na passing dcoe resolved please see additional information spare fibre ports stcb allocated port faulty lums case already progress,allocated ports unavailable faulty,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed na passing dcoe resolved please see additional information spare fibre ports stcb allocated port faulty lums case already progress allocated ports unavailable faulty
0,1,0,0,ends text ahead complete fasttest ltok fibre jumpers provided sync dial tone confirmed min vdsl passed fasttest ltok showing ports sync today tfgh router plugged circuit id tfgh job f line test type fttc provision request time result summary ltok cidt completed adsl modem detected mfl ok test reference tfgh result summary gea service test completed fault found sync last sync tfgh mfl ok tfgh uprate known tfgh downrate known,routing provided incorrect gea service test completed fault found,ends text ahead complete fasttest ltok fibre jumpers provided sync dial tone confirmed min vdsl passed fasttest ltok showing ports sync today tfgh router plugged circuit id tfgh job f line test type fttc provision request time result summary ltok cidt completed adsl modem detected mfl ok test reference tfgh result summary gea service test completed fault found sync last sync tfgh mfl ok tfgh uprate known tfgh downrate known routing provided incorrect gea service test completed fault found
1,0,0,0,ends photographic evidence available cannot complete task unable access companyname line plant located within companyname network external work completed please see additional information dp pole please call info,unable access companyname line plant located within companyname network,ends photographic evidence available cannot complete task unable access companyname line plant located within companyname network external work completed please see additional information dp pole please call info unable access companyname line plant located within companyname network
1,0,0,0,ends photographic evidence available cannot complete task unable access companyname line plant located within end customer premises jumper work completed cabinet manually entered closure notes,unable access companyname line plant located within end customer premises,ends photographic evidence available cannot complete task unable access companyname line plant located within end customer premises jumper work completed cabinet manually entered closure notes unable access companyname line plant located within end customer premises
1,0,0,0,ends photographic evidence available cannot complete task unable access companyname line plant located within end customer premises work commenced please see additional information linked installation task unable access property customer unable contact,unable access companyname line plant located within end customer premises,ends photographic evidence available cannot complete task unable access companyname line plant located within end customer premises work commenced please see additional information linked installation task unable access property customer unable contact unable access companyname line plant located within end customer premises
0,0,1,0,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed passing dcoe resolved please see additional information faulty fibre ports afti ltok,allocated ports unavailable faulty,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed passing dcoe resolved please see additional information faulty fibre ports afti ltok allocated ports unavailable faulty
0,0,0,1,jummpered per task tfgh mfl ce start faulting stcb dis network end tfgh mfl ca fault found possibly affecting gea services please check line test results sync session details port default status record sync end tfgh mfl ok ltok cidt completed adsl modem detected end tfgh mfl ok gea service test completed fault found mbit mbit sync end tfgh mfl ce start faulting stcb dis network end tfgh mfl ca fault found possibly affecting gea services please check line test results sync last sync end circuit test results tfgh mfl ce start fa,gea service test completed fault found,jummpered per task tfgh mfl ce start faulting stcb dis network end tfgh mfl ca fault found possibly affecting gea services please check line test results sync session details port default status record sync end tfgh mfl ok ltok cidt completed adsl modem detected end tfgh mfl ok gea service test completed fault found mbit mbit sync end tfgh mfl ce start faulting stcb dis network end tfgh mfl ca fault found possibly affecting gea services please check line test results sync last sync end circuit test results tfgh mfl ce start fa gea service test completed fault found
